submission_timestamp,anonymous_id,department,year_of_study,current_semester,highest_scoring_course_code,highest_grade,lowest_scoring_course_code,lowest_grade,attendance_percent,study_hours_week,attends_tutorial,assignment_completion_rate,gpa,course_difficulty,main_challenge,study_group,online_resources,success_factor,preferred_study_time,failed_course_before,laptop_access,internet_quality,lives_in_dorm,part_time_job,sleep_hours_night,mental_health_rating,main_callenge,academic_risk,engagement_score
2025-11-03 11:09:41,syntaxerror,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A-,CSEg3202,C+,83.0,11,Yes,88,3.34,3,Network problems,Yes,Sometimes,Reviewing lecture notes daily,Morning,No,Yes,Fair,Yes,No,6,4,Network problems,Low Risk,90.4
2025-11-03 11:26:50,alphaByte,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,Math2201,B-,91.0,17,Yes,97,3.79,2,None really,Yes,Yes regularly,Coding projects outside class,Morning,No,Yes,Good,No,No,8,5,None really,Low Risk,109.2
2025-11-03 11:42:12,stackflow,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,ECEg3103,C+,79.0,10,Yes,82,3.01,4,Balancing social life and study,Yes,Sometimes,Using online tutorials,Evening,No,Yes,Fair,Yes,No,6,3,Balancing social life and study,Moderate Risk,84.4
2025-11-03 12:01:33,binarymind,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A-,Math2201,C,87.0,15,Yes,94,3.61,3,Exam anxiety,Yes,Yes regularly,Early preparation,Morning,No,Yes,Good,No,No,7,4,Exam anxiety,Low Risk,102.4
2025-11-03 12:18:19,devlegend,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A+,CSEg3204,B-,97.0,22,Yes,100,4.0,2,,Yes,Yes regularly,Consistency and self-discipline,Morning,No,Yes,Good,No,No,8,5,Unknown,Low Risk,122.80000000000001
2025-11-03 12:39:08,techwolf,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,Math2201,C,80.0,9,No,80,2.97,4,Distractions from social media,No,Sometimes,Studying with friends,Night,No,Yes,Fair,Yes,Yes,5,3,Distractions from social media,Moderate Risk,82.0
2025-11-03 12:58:55,neuralAce,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A,CSEg3202,C+,90.0,16,Yes,96,3.76,3,Overthinking during exams,Yes,Yes regularly,Practice and revision,Morning,No,Yes,Good,No,No,7,4,Overthinking during exams,Low Risk,106.4
2025-11-03 13:16:27,logicmind,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B,Math2201,D+,66.0,7,No,72,2.45,5,Weak math foundation,No,Never,Memorizing summaries,Night,Yes,No,Poor,Yes,Yes,4,2,Weak math foundation,High Risk,69.2
2025-11-03 13:34:40,pixelPro,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A-,ECEg3103,C,86.0,13,Yes,91,3.47,3,Too many assignments,Yes,Sometimes,Following a study timetable,Evening,No,Yes,Good,No,No,7,4,Too many assignments,Low Risk,96.8
2025-11-03 13:55:02,dataKnight,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,B+,Math2201,C-,73.0,8,No,77,2.83,4,Poor internet connection,No,Sometimes,Using classmates notes,Night,Yes,Yes,Fair,Yes,Yes,5,3,Poor internet connection,Moderate Risk,76.0
2025-11-03 14:08:44,cyberfox,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A-,CSEg3204,C+,84.0,12,Yes,89,3.39,3,Stress from deadlines,Yes,Yes regularly,Daily coding practice,Morning,No,Yes,Good,No,No,7,4,Stress from deadlines,Low Risk,93.2
2025-11-03 14:24:17,cloudbyte,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,B+,Math2201,C,78.0,9,No,81,2.95,4,Limited study space,No,Sometimes,Reviewing recorded tutorials,Night,No,Yes,Fair,Yes,No,6,3,Limited study space,Moderate Risk,81.6
2025-11-03 14:41:32,bughunter,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,CSEg3202,B-,92.0,18,Yes,99,3.88,2,,Yes,Yes regularly,Strong consistency,Morning,No,Yes,Good,No,No,8,5,Unknown,Low Risk,112.4
2025-11-03 15:03:11,scriptkid,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,Math2201,D,71.0,7,No,75,2.63,5,Weak fundamentals,No,Never,Cramming before exams,Night,Yes,No,Poor,Yes,Yes,4,2,Weak fundamentals,Moderate Risk,72.4
2025-11-03 15:26:48,terminalX,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A-,ECEg3103,C+,88.0,14,Yes,92,3.55,3,Managing multiple projects,Yes,Sometimes,Project-based learning,Evening,No,Yes,Good,No,No,7,4,Managing multiple projects,Low Risk,100.0
2025-11-03 15:48:03,smartloop,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,Math2201,B-,94.0,19,Yes,100,3.91,2,None really,Yes,Yes regularly,Structured study routine,Morning,No,Yes,Good,No,No,8,5,None really,Low Risk,115.6
2025-11-03 16:10:22,hexacode,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B,CSEg3204,C,75.0,8,No,78,2.76,4,Poor focus during lectures,No,Sometimes,Practicing old exams,Night,Yes,Yes,Fair,Yes,Yes,5,3,Poor focus during lectures,Moderate Risk,77.2
2025-11-03 16:28:41,compileX,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A-,Math2201,C+,89.0,15,Yes,95,3.68,3,Exam pressure,Yes,Yes regularly,Reviewing notes daily,Morning,No,Yes,Good,No,No,7,4,Exam pressure,Low Risk,103.6
2025-11-03 16:44:09,datastream,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,CSEg3202,B,95.0,21,Yes,100,3.97,2,,Yes,Yes regularly,Long focused study sessions,Morning,No,Yes,Good,No,No,8,5,Unknown,Low Risk,120.0
2025-11-03 17:02:57,omegaDev,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,Math2201,C-,82.0,11,Yes,86,3.19,3,Too many distractions,Yes,Sometimes,Studying in groups,Evening,No,Yes,Fair,Yes,No,6,3,Too many distractions,Moderate Risk,89.2
